对话编号,用户,小影,对话主题,对话轮数,上传日期,状态
"308","用户","机器人扮演者","网上购物","42","2016-06-21 16:00:08","未审核"
"307","用户","机器人扮演者","运动","40","2016-06-21 16:00:08","未审核"
"306","用户","机器人扮演者","购物","40","2016-06-21 16:00:07","未审核"
"305","用户","机器人扮演者","明星","126","2016-06-21 16:00:07","未审核"
"304","用户","机器人扮演者","运动","40","2016-06-21 16:00:05","未审核"
"303","用户","机器人扮演者","音乐","38","2016-06-21 16:00:05","未审核"
"302","用户","机器人扮演者","饮食","60","2016-06-21 16:00:04","未审核"
"301","用户","机器人扮演者","动物","56","2016-06-21 16:00:04","未审核"
"300","用户","机器人扮演者","明星","40","2016-06-21 16:00:03","未审核"
"299","用户","机器人扮演者","游戏","56","2016-06-21 16:00:03","未审核"
"298","用户","机器人扮演者","爱情","38","2016-06-21 15:50:50","未审核"
"297","用户","机器人扮演者","旅游","82","2016-06-21 15:50:50","未审核"
"296","用户","机器人扮演者","文人","42","2016-06-21 15:50:49","未审核"
"295","用户","机器人扮演者","网上购物","42","2016-06-21 15:50:49","未审核"
"294","用户","机器人扮演者","运动","40","2016-06-21 15:50:48","未审核"
"293","用户","机器人扮演者","购物","40","2016-06-21 15:50:48","未审核"
"292","用户","机器人扮演者","明星","126","2016-06-21 15:50:47","未审核"
"291","用户","机器人扮演者","运动","40","2016-06-21 15:50:46","未审核"
"290","用户","机器人扮演者","音乐","38","2016-06-21 15:50:46","未审核"
"289","用户","机器人扮演者","饮食","60","2016-06-21 15:50:45","未审核"
"288","用户","机器人扮演者","动物","56","2016-06-21 15:50:45","未审核"
"287","用户","机器人扮演者","明星","40","2016-06-21 15:50:44","未审核"
"286","用户","机器人扮演者","游戏","56","2016-06-21 15:50:44","未审核"
"285","","","爱情","38","2016-06-21 15:46:37","未审核"
"284","","","旅游","82","2016-06-21 15:46:37","未审核"
"283","","","文人","42","2016-06-21 15:46:36","未审核"
"282","","","网上购物","42","2016-06-21 15:46:36","未审核"
"281","","","运动","40","2016-06-21 15:46:35","未审核"
"280","","","购物","40","2016-06-21 15:46:35","未审核"
"279","","","明星","126","2016-06-21 15:46:34","未审核"
"278","","","运动","40","2016-06-21 15:46:33","未审核"
"277","","","音乐","38","2016-06-21 15:46:33","未审核"
"276","","","饮食","60","2016-06-21 15:46:32","未审核"
"275","","","动物","56","2016-06-21 15:46:32","未审核"
"274","","","明星","40","2016-06-21 15:46:31","未审核"
"273","","","游戏","56","2016-06-21 15:46:31","未审核"
"271","","","旅游","82","2016-06-21 15:39:53","未审核"
"270","","","文人","42","2016-06-21 15:39:52","未审核"
"269","","","网上购物","42","2016-06-21 15:39:51","未审核"
"268","","","运动","40","2016-06-21 15:39:51","未审核"
"266","","","明星","126","2016-06-21 15:39:50","未审核"
"265","","","运动","40","2016-06-21 15:39:49","未审核"
"264","","","音乐","38","2016-06-21 15:39:49","未审核"
"263","","","饮食","60","2016-06-21 15:39:48","未审核"
"262","","","动物","56","2016-06-21 15:39:48","未审核"
"261","","","明星","40","2016-06-21 15:39:47","未审核"
"260","","","游戏","56","2016-06-21 15:39:47","未审核"
"259","","","游戏","56","2016-06-21 15:38:18","未审核"
"257","","","游戏","56","2016-06-21 15:32:09","未审核"
"159","晓辰","海阔","动漫","22","2016-06-13 17:46:23","未审核"
"158","海阔","董择","电影","77","2016-06-15 11:07:26","非常好海阔"
"156","晓辰","海阔","电影","13","2016-06-13 13:30:29","未审核"
"149","仪倩","董择","美食","75","2016-06-08 11:55:56","未审核"
"148","海阔","katherine","动漫","19","2016-06-08 11:42:01","未审核"
"146","董彦均","徐文毅","明星","39","2016-06-08 11:20:28","未审核"
"145","杨铮","spica","电影","38","2016-06-08 12:05:28","未审核"
"144","李来林","海阔","运动","21","2016-06-08 11:07:53","未审核"
"143","志强","陈彧","运动","83","2016-06-08 12:06:06","未审核"
"142","吕晴","柏鹤","明星","42","2016-06-08 11:13:51","未审核"
"129","柏鹤","吕晴","电影","10","2016-06-07 16:19:02","未审核"
"125","董彦均","吕晴","小说","10","2016-06-07 15:50:54","未审核phantom"
"123","李来林","仪倩","明星","0","2016-06-07 15:53:15","未审核"
"121","spica","katherine","明星","20","2016-06-07 15:49:44","未审核"
"118","rita","仪倩","明星","0","2016-06-07 15:55:11","未审核rita"
"115","董彦均","吕晴","电影","0","2016-06-07 15:42:23","未审核"
"109","伟翔","陈彧","运动","37","2016-06-07 15:50:23","未审核"
"92","李来林","高扬帆","运动","38","2016-06-07 15:51:59","不错Phantom"
"91","吕晴","蔡滢昕","美食","33","2016-06-07 15:59:55","未审核"
"86","海阔","rita","小说","0","2016-06-06 17:31:08","未审核"
"79","志强","海阔","电影","28","2016-06-06 16:10:08","非常好Rita"
"77","多铎","丁玲","武侠","9","2016-06-06 14:55:05","合格Phantom"
"75","多铎","丁玲","足球","16","2016-06-06 14:34:13","不合格Rita"
